"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"実質賃金総額","TL調査産業計","３０人以上","2005.0","108.0","85.8","86.7","91.5","88.4","86.7","167.0","124.6","88.5","86.2","88.8","90.5","211.5"
"実質賃金総額","TL調査産業計","３０人以上","2006.0","108.3","88.8","88.3","91.7","89.8","87.4","169.5","116.9","89.2","86.4","88.0","92.4","211.6"
"実質賃金総額","TL調査産業計","３０人以上","2007.0","105.1","87.0","85.2","88.3","85.9","85.8","162.6","113.7","85.7","84.3","84.5","92.5","204.9"
"実質賃金総額","TL調査産業計","３０人以上","2008.0","102.1","85.4","85.3","86.7","84.7","85.5","170.1","106.9","82.2","79.8","80.0","85.1","192.9"
"実質賃金総額","TL調査産業計","３０人以上","2009.0","100.3","82.8","81.6","82.8","83.3","81.7","159.5","104.1","86.4","81.7","81.6","90.3","187.2"
"実質賃金総額","TL調査産業計","３０人以上","2010.0","100.0","86.0","82.4","82.5","86.4","83.1","159.8","101.1","85.7","82.3","82.2","91.1","177.4"
"実質賃金総額","TL調査産業計","３０人以上","2011.0","100.4","86.1","82.3","81.7","82.2","86.3","159.7","103.1","86.1","81.2","84.2","89.9","182.4"
"実質賃金総額","TL調査産業計","３０人以上","2012.0","99.4","84.4","83.2","84.2","82.5","81.4","154.5","107.4","83.2","80.1","79.7","82.6","190.8"
"実質賃金総額","TL調査産業計","３０人以上","2013.0","98.0","82.1","80.7","85.4","82.9","79.2","148.0","107.3","81.8","79.6","78.1","80.4","188.9"
"実質賃金総額","TL調査産業計","３０人以上","2014.0","95.6","80.8","79.4","88.6","78.3","76.6","142.7","103.7","79.5","75.9","76.3","80.7","183.3"
"実質賃金総額","TL調査産業計","３０人以上","2015.0","93.9","81.6","78.2","83.7","79.1","79.1","126.4","102.5","81.5","75.3","76.7","83.9","178.3"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2006.0","0.3","3.5","1.8","0.2","1.6","0.8","1.5","-6.2","0.8","0.2","-0.9","2.1","0.0"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2007.0","-3.0","-2.0","-3.5","-3.7","-4.3","-1.8","-4.1","-2.7","-3.9","-2.4","-4.0","0.1","-3.2"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2008.0","-2.9","-1.8","0.1","-1.8","-1.4","-0.3","4.6","-6.0","-4.1","-5.3","-5.3","-8.0","-5.9"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2009.0","-1.8","-3.0","-4.3","-4.5","-1.7","-4.4","-6.2","-2.6","5.1","2.4","2.0","6.1","-3.0"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2010.0","-0.3","3.9","1.0","-0.4","3.7","1.7","0.2","-2.9","-0.8","0.7","0.7","0.9","-5.2"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2011.0","0.4","0.1","-0.1","-1.0","-4.9","3.9","-0.1","2.0","0.5","-1.3","2.4","-1.3","2.8"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2012.0","-1.0","-2.0","1.1","3.1","0.4","-5.7","-3.3","4.2","-3.4","-1.4","-5.3","-8.1","4.6"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2013.0","-1.4","-2.7","-3.0","1.4","0.5","-2.7","-4.2","-0.1","-1.7","-0.6","-2.0","-2.7","-1.0"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2014.0","-2.4","-1.6","-1.6","3.7","-5.5","-3.3","-3.6","-3.4","-2.8","-4.6","-2.3","0.4","-3.0"
"実質賃金総額（前年比）","TL調査産業計","３０人以上","2015.0","-1.8","1.0","-1.5","-5.5","1.0","3.3","-11.4","-1.2","2.5","-0.8","0.5","4.0","-2.7"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2005.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","C鉱業、採石業、砂利採取業","３０人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"実質賃金総額","D建設業","３０人以上","2005.0","97.3","Ｘ","88.7","88.7","85.2","87.8","87.3","104.9","89.2","89.0","142.8","89.0","132.9"
"実質賃金総額","D建設業","３０人以上","2006.0","96.6","Ｘ","Ｘ","89.9","86.6","86.1","87.9","101.8","117.2","86.2","152.2","Ｘ","Ｘ"
